flight_date,airport_code,wind_kph,rain_mm,temp_c
2024-07-01,AAA,16,5,20
2024-07-01,BBB,21,8,22
2024-07-01,CCC,26,2,24
2024-07-01,DDD,31,5,26
2024-07-01,EEE,8,8,28
2024-07-02,AAA,19,7,21
2024-07-02,BBB,24,1,23
2024-07-02,CCC,29,4,25
2024-07-02,DDD,34,7,27
2024-07-02,EEE,11,1,29
2024-07-03,AAA,22,0,22
2024-07-03,BBB,27,3,24
2024-07-03,CCC,32,6,26
2024-07-03,DDD,9,0,28
2024-07-03,EEE,14,3,30
2024-07-04,AAA,25,2,23
2024-07-04,BBB,30,5,25
2024-07-04,CCC,35,8,27
2024-07-04,DDD,12,2,29
2024-07-04,EEE,17,5,31
2024-07-05,AAA,28,4,24
2024-07-05,BBB,33,7,26
2024-07-05,CCC,10,1,28
2024-07-05,DDD,15,4,30
2024-07-05,EEE,20,7,32
2024-07-06,AAA,31,6,25
2024-07-06,BBB,8,0,27
2024-07-06,CCC,13,3,29
2024-07-06,DDD,18,6,31
2024-07-06,EEE,23,0,18
2024-07-07,AAA,34,8,26
2024-07-07,BBB,11,2,28
2024-07-07,CCC,16,5,30
2024-07-07,DDD,21,8,32
2024-07-07,EEE,26,2,19
2024-07-08,AAA,9,1,27
2024-07-08,BBB,14,4,29
2024-07-08,CCC,19,7,31
2024-07-08,DDD,24,1,18
2024-07-08,EEE,29,4,20
2024-07-09,AAA,12,3,28
2024-07-09,BBB,17,6,30
2024-07-09,CCC,22,0,32
2024-07-09,DDD,27,3,19
2024-07-09,EEE,32,6,21
2024-07-10,AAA,15,5,29
2024-07-10,BBB,20,8,31
2024-07-10,CCC,25,2,18
2024-07-10,DDD,30,5,20
2024-07-10,EEE,35,8,22
2024-07-11,AAA,18,7,30
2024-07-11,BBB,23,1,32
2024-07-11,CCC,28,4,19
2024-07-11,DDD,33,7,21
2024-07-11,EEE,10,1,23
2024-07-12,AAA,21,0,31
2024-07-12,BBB,26,3,18
2024-07-12,CCC,31,6,20
2024-07-12,DDD,8,0,22
2024-07-12,EEE,13,3,24
2024-07-13,AAA,24,2,32
2024-07-13,BBB,29,5,19
2024-07-13,CCC,34,8,21
2024-07-13,DDD,11,2,23
2024-07-13,EEE,16,5,25
2024-07-14,AAA,27,4,18
2024-07-14,BBB,32,7,20
2024-07-14,CCC,9,1,22
2024-07-14,DDD,14,4,24
2024-07-14,EEE,19,7,26
2024-07-15,AAA,30,6,19
2024-07-15,BBB,35,0,21
2024-07-15,CCC,12,3,23
2024-07-15,DDD,17,6,25
2024-07-15,EEE,22,0,27
2024-07-16,AAA,33,8,20
2024-07-16,BBB,10,2,22
2024-07-16,CCC,15,5,24
2024-07-16,DDD,20,8,26
2024-07-16,EEE,25,2,28
2024-07-17,AAA,8,1,21
2024-07-17,BBB,13,4,23
2024-07-17,CCC,18,7,25
2024-07-17,DDD,23,1,27
2024-07-17,EEE,28,4,29
2024-07-18,AAA,11,3,22
2024-07-18,BBB,16,6,24
2024-07-18,CCC,21,0,26
2024-07-18,DDD,26,3,28
2024-07-18,EEE,31,6,30
2024-07-19,AAA,14,5,23
2024-07-19,BBB,19,8,25
2024-07-19,CCC,24,2,27
2024-07-19,DDD,29,5,29
2024-07-19,EEE,34,8,31
2024-07-20,AAA,17,7,24
2024-07-20,BBB,22,1,26
2024-07-20,CCC,27,4,28
2024-07-20,DDD,32,7,30
2024-07-20,EEE,9,1,32
2024-07-21,AAA,20,0,25
2024-07-21,BBB,25,3,27
2024-07-21,CCC,30,6,29
2024-07-21,DDD,35,0,31
2024-07-21,EEE,12,3,18
2024-07-22,AAA,23,2,26
2024-07-22,BBB,28,5,28
2024-07-22,CCC,33,8,30
2024-07-22,DDD,10,2,32
2024-07-22,EEE,15,5,19
2024-07-23,AAA,26,4,27
2024-07-23,BBB,31,7,29
2024-07-23,CCC,8,1,31
2024-07-23,DDD,13,4,18
2024-07-23,EEE,18,7,20
2024-07-24,AAA,29,6,28
2024-07-24,BBB,34,0,30
2024-07-24,CCC,11,3,32
2024-07-24,DDD,16,6,19
2024-07-24,EEE,21,0,21
2024-07-25,AAA,32,8,29
2024-07-25,BBB,9,2,31
2024-07-25,CCC,14,5,18
2024-07-25,DDD,19,8,20
2024-07-25,EEE,24,2,22
2024-07-26,AAA,35,1,30
2024-07-26,BBB,12,4,32
2024-07-26,CCC,17,7,19
2024-07-26,DDD,22,1,21
2024-07-26,EEE,27,4,23
2024-07-27,AAA,10,3,31
2024-07-27,BBB,15,6,18
2024-07-27,CCC,20,0,20
2024-07-27,DDD,25,3,22
2024-07-27,EEE,30,6,24
2024-07-28,AAA,13,5,32
2024-07-28,BBB,18,8,19
2024-07-28,CCC,23,2,21
2024-07-28,DDD,28,5,23
2024-07-28,EEE,33,8,25
2024-07-29,AAA,16,7,18
2024-07-29,BBB,21,1,20
2024-07-29,CCC,26,4,22
2024-07-29,DDD,31,7,24
2024-07-29,EEE,8,1,26
2024-07-30,AAA,19,0,19
2024-07-30,BBB,24,3,21
2024-07-30,CCC,29,6,23
2024-07-30,DDD,34,0,25
2024-07-30,EEE,11,3,27
