student_id,month,school_days,absent_days
S01,2024-09-01,20,2
S01,2024-10-01,21,3
S01,2024-11-01,20,0
S01,2024-12-01,19,1
S02,2024-09-01,20,3
S02,2024-10-01,21,0
S02,2024-11-01,20,1
S02,2024-12-01,19,2
S03,2024-09-01,20,0
S03,2024-10-01,21,1
S03,2024-11-01,20,2
S03,2024-12-01,19,3
S04,2024-09-01,20,1
S04,2024-10-01,21,2
S04,2024-11-01,20,3
S04,2024-12-01,19,0
S05,2024-09-01,20,2
S05,2024-10-01,21,3
S05,2024-11-01,20,0
S05,2024-12-01,19,1
S06,2024-09-01,20,3
S06,2024-10-01,21,0
S06,2024-11-01,20,1
S06,2024-12-01,19,2
S07,2024-09-01,20,0
S07,2024-10-01,21,1
S07,2024-11-01,20,2
S07,2024-12-01,19,3
S08,2024-09-01,20,1
S08,2024-10-01,21,2
S08,2024-11-01,20,3
S08,2024-12-01,19,0
S09,2024-09-01,20,2
S09,2024-10-01,21,3
S09,2024-11-01,20,0
S09,2024-12-01,19,1
S10,2024-09-01,20,3
S10,2024-10-01,21,0
S10,2024-11-01,20,1
S10,2024-12-01,19,2
S11,2024-09-01,20,0
S11,2024-10-01,21,1
S11,2024-11-01,20,2
S11,2024-12-01,19,3
S12,2024-09-01,20,1
S12,2024-10-01,21,2
S12,2024-11-01,20,3
S12,2024-12-01,19,0
S13,2024-09-01,20,2
S13,2024-10-01,21,3
S13,2024-11-01,20,0
S13,2024-12-01,19,1
S14,2024-09-01,20,3
S14,2024-10-01,21,0
S14,2024-11-01,20,1
S14,2024-12-01,19,2
S15,2024-09-01,20,0
S15,2024-10-01,21,1
S15,2024-11-01,20,2
S15,2024-12-01,19,3
S16,2024-09-01,20,1
S16,2024-10-01,21,2
S16,2024-11-01,20,3
S16,2024-12-01,19,0
S17,2024-09-01,20,2
S17,2024-10-01,21,3
S17,2024-11-01,20,0
S17,2024-12-01,19,1
S18,2024-09-01,20,3
S18,2024-10-01,21,0
S18,2024-11-01,20,1
S18,2024-12-01,19,2
S19,2024-09-01,20,0
S19,2024-10-01,21,1
S19,2024-11-01,20,2
S19,2024-12-01,19,3
S20,2024-09-01,20,1
S20,2024-10-01,21,2
S20,2024-11-01,20,3
S20,2024-12-01,19,0
