policy_id,product,region,premium_monthly,deductible,start_date
POL001,Auto,West,79,250,2024-01-03
POL002,Home,East,88,500,2024-01-05
POL003,Auto,South,97,1000,2024-01-07
POL004,Renters,North,106,250,2024-01-09
POL005,Home,Central,115,500,2024-01-11
POL006,Auto,West,124,250,2024-01-13
POL007,Home,East,133,500,2024-01-15
POL008,Auto,South,142,1000,2024-01-17
POL009,Renters,North,71,250,2024-01-19
POL010,Home,Central,80,500,2024-01-21
POL011,Auto,West,89,250,2024-01-23
POL012,Home,East,98,500,2024-01-25
POL013,Auto,South,107,1000,2024-01-27
POL014,Renters,North,116,250,2024-01-29
POL015,Home,Central,125,500,2024-01-31
POL016,Auto,West,134,250,2024-02-02
POL017,Home,East,143,500,2024-02-04
POL018,Auto,South,72,1000,2024-02-06
POL019,Renters,North,81,250,2024-02-08
POL020,Home,Central,90,500,2024-02-10
POL021,Auto,West,99,250,2024-02-12
POL022,Home,East,108,500,2024-02-14
POL023,Auto,South,117,1000,2024-02-16
POL024,Renters,North,126,250,2024-02-18
POL025,Home,Central,135,500,2024-02-20
POL026,Auto,West,144,250,2024-02-22
POL027,Home,East,73,500,2024-02-24
POL028,Auto,South,82,1000,2024-02-26
POL029,Renters,North,91,250,2024-02-28
POL030,Home,Central,100,500,2024-03-01
