field_id,week_start,pest_incidents
F01,2024-04-15,3
F01,2024-05-13,1
F01,2024-06-10,4
F02,2024-04-08,2
F02,2024-05-06,5
F02,2024-06-03,3
F03,2024-04-01,1
F03,2024-04-29,4
F03,2024-05-27,2
F04,2024-04-22,3
F04,2024-05-20,1
F04,2024-06-17,4
F05,2024-04-15,2
F05,2024-05-13,5
F05,2024-06-10,3
F06,2024-04-08,1
F06,2024-05-06,4
F06,2024-06-03,2
F07,2024-04-01,5
F07,2024-04-29,3
F07,2024-05-27,1
F08,2024-04-22,2
F08,2024-05-20,5
F08,2024-06-17,3
F09,2024-04-15,1
F09,2024-05-13,4
F09,2024-06-10,2
F10,2024-04-08,5
F10,2024-05-06,3
F10,2024-06-03,1
F11,2024-04-01,4
F11,2024-04-29,2
F11,2024-05-27,5
F12,2024-04-22,1
F12,2024-05-20,4
F12,2024-06-17,2
